QueryNumber;DocRanking;DocNumber;Similarity
00001;1;00568;0.8013670582197726
00001;2;00392;0.7688072808747713
00001;3;00533;0.7042759779982225
00001;4;00302;0.6966229883920693
00001;5;00437;0.6913155306475599
00001;6;00011;0.6814317126289606
00001;7;00441;0.6732037944639826
00001;8;00189;0.6614408088560099
00001;9;00856;0.6597079019534747
00001;10;00950;0.6544464600745168
00001;11;00311;0.6494766029496915
00001;12;00543;0.6489219180333573
00001;13;00398;0.6486184248133402
00001;14;00875;0.6460775726685788
00001;15;00052;0.6432217964976699
00001;16;00982;0.6426866063307206
00001;17;01168;0.6422639512574116
00001;18;00914;0.6399958461252105
00001;19;00962;0.6399868264298049
00001;20;00502;0.6343353036996944
00001;21;00676;0.6324967597057994
00001;22;00439;0.6270955393130371
00001;23;00496;0.6254947829751691
00001;24;00693;0.6241143083065097
00001;25;00523;0.6203009304010231
00001;26;00538;0.6203009304010231
00001;27;00767;0.6203009304010231
00001;28;01180;0.6175432905659427
00001;29;00754;0.6061483431737144
00001;30;00043;0.6053597131079237
00001;31;00738;0.6042527961414346
00001;32;00552;0.6040561965300318
00001;33;00758;0.6009166714311102
00001;34;00147;0.5995907467549091
00001;35;00499;0.5969966353146701
00001;36;00960;0.5897048632209343
00001;37;00246;0.5843565643557392
00001;38;01107;0.5843565643557392
00001;39;00451;0.5821799542855448
00001;40;00957;0.5783875621155117
00001;41;00999;0.5747298247571183
00001;42;00430;0.5711214686330116
00001;43;00730;0.5697360760151068
00001;44;00265;0.5677146154884452
00001;45;01016;0.5668487293091075
00001;46;00867;0.5572318329235563
00001;47;01201;0.5516893465572394
00001;48;00742;0.5365981773820554
00001;49;01238;0.5345010581500103
00001;50;00122;0.5344868099741931
00001;51;00159;0.5344835308586184
00001;52;00813;0.5344835308586184
00001;53;00347;0.5344665385894651
00001;54;00998;0.534462769690322
00001;55;00219;0.5344147706795134
00001;56;00317;0.5342577926078372
00001;57;00810;0.5341499365096465
00001;58;00633;0.5338713006504234
00001;59;00812;0.5338713006504234
00001;60;01067;0.5338713006504234
00001;61;00031;0.5334965808772082
00001;62;00089;0.5334965808772082
00001;63;00438;0.5334965808772082
00001;64;00694;0.5334965808772082
00001;65;00705;0.5334965808772082
00001;66;00751;0.5334965808772082
00001;67;00790;0.5334965808772082
00001;68;00870;0.5334965808772082
00001;69;00902;0.5334965808772082
00001;70;01099;0.5334965808772082
00001;71;01179;0.5334965808772082
00001;72;00840;0.5330624554421483
00001;73;00243;0.5327545858808865
00001;74;00531;0.5326924344588903
00001;75;00107;0.5319132382804541
00001;76;00848;0.5319132382804541
00001;77;01081;0.531913238280454
00001;78;00163;0.5317165404892912
00001;79;00458;0.5317165404892911
00001;80;00959;0.5315868083797561
00001;81;00527;0.5313020426773805
00001;82;00501;0.5307184033141488
00001;83;01145;0.5307184033141488
00001;84;00811;0.5293825988417666
00001;85;00174;0.5293825988417665
00001;86;00427;0.5293825988417665
00001;87;00669;0.5293825988417665
00001;88;00905;0.5293825988417665
00001;89;01224;0.5293825988417665
00001;90;01225;0.5293825988417665
00001;91;00179;0.5293023341289426
00001;92;00567;0.5289029393143867
00001;93;00144;0.528445056569084
00001;94;00722;0.528445056569084
00001;95;01042;0.5282957625892206
00001;96;00497;0.5282957625892205
00001;97;00529;0.5282822224265731
00001;98;00532;0.5282822224265731
00001;99;01139;0.528282222426573
00001;100;00563;0.5274870683895719
00001;101;00201;0.5274870683895718
00001;102;01197;0.5256327668848076
00001;103;00766;0.5256327668848075
00001;104;00541;0.5250395811851153
00001;105;01171;0.5250395811851153
00001;106;00850;0.5244666945842805
00001;107;01026;0.5244666945842804
00001;108;00471;0.5238275538679183
00001;109;00597;0.5238275538679183
00001;110;00648;0.5238275538679183
00001;111;00899;0.5238275538679183
00001;112;00912;0.5238275538679183
00001;113;01181;0.5238275538679183
00001;114;00564;0.5232612199362597
00001;115;00139;0.5223117966663361
00001;116;00969;0.5213317952645355
00001;117;00333;0.5209178271916528
00001;118;00352;0.5209178271916528
00001;119;00901;0.5202391755008103
00001;120;01173;0.5202391755008103
00001;121;00973;0.5200219793604585
00001;122;00658;0.5199692956262446
00001;123;00459;0.5199220828663975
00001;124;01071;0.5199220828663975
00001;125;01103;0.5199220828663975
00001;126;01227;0.5199220828663975
00001;127;00288;0.5199220828663974
00001;128;00989;0.5192372508431281
00001;129;00753;0.5188035951429781
00001;130;01188;0.5178703582538436
00001;131;00063;0.5174695615063495
00001;132;00150;0.5174695615063495
00001;133;00218;0.5174695615063495
00001;134;00852;0.5174695615063495
00001;135;01202;0.5172219007338607
00001;136;00827;0.5171308418122033
00001;137;01005;0.5152947586585852
00001;138;00415;0.5151229246270724
00001;139;00915;0.5151229246270724
00001;140;01164;0.5151229246270724
00001;141;00511;0.5138180577220913
00001;142;00512;0.5138180577220913
00001;143;00185;0.5135517295699834
00001;144;01135;0.5135517295699834
00001;145;01112;0.5124338346573397
00001;146;00936;0.5109446525441358
00001;147;01205;0.5109446525441358
